title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Number of Patents,Count,Assignment,Patent No.,Patent Issued,Patent Owner,Patent Extended Period (days),Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext,row_identifier,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Proprietary Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation
Determination of Regulatory Review Period for Purposes of Patent Extension; CORE VALVE SYSTEM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for CORE VALVE SYSTEM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that medical device.",81 FR 83849,2016-28047,https://www.federalregister.gov/documents/2016/11/22/2016-28047/determination-of-regulatory-review-period-for-purposes-of-patent-extension-core-valve-system,https://www.govinfo.gov/content/pkg/FR-2016-11-22/pdf/2016-28047.pdf,11/22/2016, CORE VALVE SYSTEM,,Jonathan,,0,113,Jonathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; IXINITY,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for IXINITY and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of applications to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 85965,2016-28653,https://www.federalregister.gov/documents/2016/11/29/2016-28653/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ixinity,https://www.govinfo.gov/content/pkg/FR-2016-11-29/pdf/2016-28653.pdf,11/29/2016, IXINITY,,Jonathan,IXINITY,2,115,Jonathan,7645602 and 8603823,,,,the University of North Carolina at Chapel Hill,2437,1318,1119,2008-08-28,2008-08-28,2015-04-29,BLA 125426,505,125426,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NUWIQ,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for NUWIQ and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 85974,2016-28654,https://www.federalregister.gov/documents/2016/11/29/2016-28654/determination-of-regulatory-review-period-for-purposes-of-patent-extension-nuwiq,https://www.govinfo.gov/content/pkg/FR-2016-11-29/pdf/2016-28654.pdf,11/29/2016, NUWIQ,,Jonathan,NUWIQ,1,116,Jonathan,7572619,,,,Octapharma AG,2622,2165,457,2008-07-02,2008-07-02,2015-09-04,BLA 125555,1336,125555,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; TRUMENBA,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for TRUMENBA and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87041,2016-28916,https://www.federalregister.gov/documents/2016/12/02/2016-28916/determination-of-regulatory-review-period-for-purposes-of-patent-extension-trumenba,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28916.pdf,12/2/2016, TRUMENBA,,Jonathan,TRUMENBA,2,118,Jonathan,8101194 and 8563007,,,,Wyeth Holdings LLC,2079,1943,136,2009-02-20,2009-02-20,2014-10-29,BLA 125549,573,125549,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,119,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,1/23/2013,Treatment of Stage IIb to IV melanoma,Designated/Approved,,,adjuvant treatment of adult and pediatric patients 12 years and older with melanoma with involvement of lymph nodes or metastatic disease who have undergone complete resection,2/15/2023,2/15/2030,adjuvant treatment of pediatric patients 12 years and older with melanoma with involvement of lymph nodes or metastatic disease who have undergone complete resection,Bristol-Myers Squibb Co.,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,120,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,8/22/2016,Treatment of esophageal cancer,Designated/Approved,,,"In combination with ipilimumab, for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC)",5/27/2022,5/27/2029,First-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC),Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,121,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,8/22/2016,Treatment of esophageal cancer,Designated/Approved,,,"In combination with fluoropyrimidine- and platinum-containing chemotherapy, for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC)",5/27/2022,5/27/2029,First-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC),Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,122,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,1/23/2013,Treatment of Stage IIb to IV melanoma,Designated/Approved,,,"As a single agent or in combination with ipilimumab, for the treatment of adult and pediatric patients 12 years and older with unresectable or metastatic melanoma",2/15/2023,2/15/2030,Treatment of pediatric patients 12 years and older with unresectable or metastatic melanoma,Bristol-Myers Squibb Co.,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,123,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,12/20/2016,Treatment of gastric cancer and gastro-esophageal junction cancer,Designated/Approved,,,adjuvant treatment of completely resected esophageal or gastroesophageal junction cancer with residual pathologic disease in patients who have received neoadjuvant chemoradiotherapy (CRT),5/20/2021,5/20/2028,adjuvant treatment of completely resected esophageal or gastroesophageal junction cancer with residual pathologic disease in patients who have received neoadjuvant chemoradiotherapy (CRT),Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,124,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,8/7/2014,Treatment of Hodgkin lymphoma,Designated/Approved,,,Treatment of adult patients with Classical Hodgkin lymphoma that has relapsed or progressed after autologous hematopoietic stem cell transplantation (HSCT) and brentuximab vedotin,5/17/2016,5/17/2023,Treatment of adult patients with Classical Hodgkin lymphoma that has relapsed or progressed after autologous hematopoietic stem cell transplantation (HSCT) and brentuximab vedotin,Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,125,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,10/9/2014,Treatment of Stage IIb to Stage IV melanoma,Designated/Approved,,,"as a single agent or in combination with ipilimumab, for the treatment of adult and pediatric patients 12 years and older with unresectable or metastatic melanoma",2/15/2023,,,Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,126,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,8/7/2014,Treatment of Hodgkin lymphoma,Designated/Approved,,,Treatment of adult patients with classical Hodgkin lymphoma (cHL) that has relapsed or progressed after autologous hematopoietic stem cell transplantation (HSCT) and brentuximab vedotin; or 3 or more lines of systemic therapy that includes autologous HSCT.,4/25/2017,4/25/2024,"Treatment of adult patients with Classical Hodgkin lymphoma that has relapsed or progressed after 3 or more lines of systemic therapy that includes autologous HSCT, not including any overlap with the orphan exclusivity awarded for the 2016 marketing approval of nivolumab for the treatment of adult patients with classical Hodgkin lymphoma that has relapsed or progressed after autologous hematopoietic stem cell transplantation (HSCT) and brentuximab vedotin.",Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,127,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,12/20/2016,Treatment of gastric cancer and gastro-esophageal junction cancer,Designated/Approved,,,"in combination with fluoropyrimidine- and platinum-containing chemotherapy for the treatment of patients with advanced or metastatic gastric cancer, gastroesophageal junction cancer, and esophageal adenocarcinoma",4/16/2021,4/16/2028,"treatment of patients with advanced or metastatic gastric cancer, gastroesophageal junction cancer, and esophageal adenocarcinoma",Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,128,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,8/22/2016,Treatment of esophageal cancer,Designated/Approved,,,"in combination with fluoropyrimidine- and platinum-containing chemotherapy for the treatment of patients with advanced or metastatic gastric cancer, gastroesophageal junction cancer, and esophageal adenocarcinoma",4/16/2021,4/16/2028,"treatment of patients with advanced or metastatic gastric cancer, gastroesophageal junction cancer, and esophageal adenocarcinoma",Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,129,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,8/22/2016,Treatment of esophageal cancer,Designated/Approved,,,adjuvant treatment of completely resected esophageal or gastroesophageal junction cancer with residual pathologic disease in patients who have received neoadjuvant chemoradiotherapy (CRT),5/20/2021,5/20/2028,adjuvant treatment of completely resected esophageal or gastroesophageal junction cancer with residual pathologic disease in patients who have received neoadjuvant chemoradiotherapy (CRT),Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,130,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,1/23/2013,Treatment of Stage IIb to IV melanoma,Designated/Approved,,,Adjuvant treatment of patients with melanoma with involvement of lymph nodes or metastatic disease who have undergone complete resection,12/20/2017,12/20/2024,Adjuvant treatment of patients with melanoma with involvement of lymph nodes or metastatic disease who have undergone complete resection,Bristol-Myers Squibb Co.,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,131,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,8/22/2016,Treatment of esophageal cancer,Designated/Approved,,,"Opdivo (nivolumab) indicated for the treatment of patients with unresectable advanced, recurrent or metastatic esophageal squamous cell carcinoma (ESCC) after prior fluoropyrimidine- and platinum-based chemotherapy.",6/10/2020,6/10/2027,"For the treatment of patients with unresectable advanced, recurrent or metastatic esophageal squamous cell carcinoma (ESCC) after prior fluoropyrimidine- and platinum-based chemotherapy.",Bristol-Myers Squibb Company,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
Determination of Regulatory Review Period for Purposes of Patent Extension; OPDIVO,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for OPDIVO and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Director of the U.S. Patent and Trademark Office (USPTO), Department of Commerce, for the extension of a patent which claims that human biological product.",81 FR 87044,2016-28917,https://www.federalregister.gov/documents/2016/12/02/2016-28917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-opdivo,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-28917.pdf,12/2/2016, OPDIVO,,Jonathan,OPDIVO,1,132,Jonathan,8008449,,,,"E.R. Squibb & Sons, LLC",3071,2925,146,2006-07-28,2006-07-28,2014-12-22,BLA 125554,552,125554,1/23/2013,Treatment of Stage IIb to IV melanoma,Designated/Approved,,,"Treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor",12/22/2014,12/22/2021,"Treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor",Bristol-Myers Squibb Co.,Opdivo,nivolumab,Bristol-Myers Squibb,BLA,125554,,2014-07-30,2014-12-22,2014,,"OPDIVO (nivolumab) is indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor. _x000D_
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,Yes,Yes,Yes,Yes
