document_id,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat term ext
2015-32247,,,"ThromboGenics NV, and the USPTO requested FDA's assistance in determining these patents' eligibility for patent term restoration",2171,1987,184,,,"October 17, 2012",the biologics license application (BLA) for JETREA (BLA 125422/0),
2015-32475,,,"Genentech, Inc",2594,2414,180,"January 18, 2006",,"February 22, 2013",the date the investigational new drug application became effective,
2016-03551,,"7,439,393","Glaxo Group Limited, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",1980,1677,303,,,"May 10, 2013",the new drug application (NDA) for BREO ELLIPTA (NDA 204275),981
2016-03542,,"8,419,788",IDEV Technologies Inc,1894,1396,498,,,"March 28, 2014","the date the investigational device exemption (IDE) required under section 520(g) of the FD&C act for human tests to begin became effective January 21, 2009.
                

                    2. 
                    The date an application",158
2016-04369,,"8,222,219","Mitsubishi Tanabe Pharma Corporation of Osaka, Japan, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2137,1834,303,,,"March 29, 2013",the new drug application (NDA) for INVOKANA (NDA 204042),256
2016-04370,,"7,488,827","Glaxo Group Limited, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",1589,1223,366,,,"December 18, 2013",the new drug application (NDA) for ANORO ELLIPTA (NDA 203975),966
2016-05389,,"7,094,781",Actelion Pharmaceuticals Ltd,1935,1570,365,,,"October 18, 2013",the new drug application (NDA) for OPSUMIT (NDA 204410),1151
2016-07477,,"7,144,884",H,2343,1979,364,,,"September 30, 2013",the new drug application (NDA) for BRINTELLIX (NDA 204447),1353
2016-08338,,,"Genentech, Inc",1698,1504,194,"March 11, 2009",,"November 1, 2013",the date the investigational new drug application became effective,
2016-08337,,"7,173,037","Bayer Intellectual Property GmbH, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2394,2151,243,,,"October 8, 2013",the new drug application (NDA) for ADEMPAS (NDA 204819),1317
2016-08333,,"6,890,929",Pfizer Inc,2226,2172,54,,,"May 14, 2013",the date the investigational new animal drug application (INAD) became effective,1139
2016-08334,,"5,753,646","BIAL-PORTELA & CA, S",2517,832,1685,,,"November 8, 2013",NDA 22-416,1826
2016-08692,,"7,498,414",Eli Lilly and Co,3521,3279,242,,,"April 21, 2014",the date the investigational new drug application (IND) became effective,1059
2016-09374,,"5,900,488",Nihon Nohyaku Co,2242,1903,339,,,"November 14, 2013",the new drug application (NDA) for LUZU (NDA 204153),1289
2016-12708,,,"Medivir AB and Janssen R&D Ireland, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2006,1766,240,,,"November 22, 2013",the new drug application (NDA) for OLYSIO (NDA 205123),
2016-12823,,"6,245,819",Hormos Medical Ltd,3585,3278,307,,,"February 26, 2013",the new drug application (NDA) for OSPHENA (NDA 203505),1826
2016-12829,,"7,427,638","Celgene Corporation, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3494,3128,366,,,"March 21, 2014",the new drug application (NDA) for OTEZLA (NDA 205437),
2016-12859,,"7,378,423","Japan Tobacco, Inc",1842,1542,300,,,"May 29, 2013",NDA 204-114,623
2016-13526,,,Biogen Idec Hemophilia Inc,2223,1767,456,,,"March 28, 2014",the date the investigational new drug application (IND) became effective,
2016-13521,,,Biogen Idec Hemophilia Inc,1695,1239,456,,,"June 6, 2014",BLA 125487/0,1049
2016-13797,,"7,141,547","Human Genome Sciences, Inc",3014,2557,457,,,"April 15, 2014",the date the investigational new drug application (IND) became effective,1577
2016-13796,,,"Celgene Corporation, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3716,3411,305,,,"February 8, 2013",the new drug application (NDA) for POMALYST (NDA 204026),
2016-14353,,"5,840,684",Eli Lilly and Co,6539,6295,244,,,"August 6, 2014",the new drug application (NDA) for ORBACTIV (NDA 206334),
2016-14357,,,"Boston Scientific Scimed, Inc",3075,2180,895,,,"November 15, 2012",,
2016-14356,,"6,299,604","Cook Medical Technologies, LLC, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3075,2180,895,,,"November 14, 2012",the date the investigational device exemption (IDE) required under section 520(g) of the FD&C Act for human tests to begin became effective,1826
2016-14551,,"6,635,234","Algeta ASA, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",1945,1792,153,,,"May 15, 2013",the new drug application (NDA) for XOFIGO (NDA 203971),1032
2016-17187,,"6,239,180","NeurogesX, Inc",2944,2547,397,,,"November 16, 2009",NDA 22-395,1687
2016-22344,,"7,147,851","Millenium Pharmaceuticals, Inc",5066,4731,335,,,"May 20, 2014",the biologics license application (BLA) for ENTYVIO (BLA 125476),1526
2016-22345,,"5,686,060","Bracco Suisse SA, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",7199,6174,1025,,,"October 10, 2014",NDA 203684,
2016-22343,,"5,454,779","University of California and Advanced Circulatory Systems, Inc",3608,2247,1361,,,"March 6, 2015",the premarket approval application (PMA) for RESQCPR SYSTEM (PMA P110024),
2016-22935,,"6,001,968 from The Rockefeller University, and U.S. Patent No. 7,183,254 from Amgen, Inc.; The Board of Regents, The University of Texas System; and the Secretary, United States Department of Health and Human Services, National Institutes of Health",,6509,6174,335,,,"February 24, 2014",BLA 125-390,
2016-22933,,"6,949,571",Eisai R&D Management Co,3274,2968,306,,,"October 22, 2012",NDA 202834,1549
2016-22937,,,"Arena Pharmaceuticals, Inc",2928,2009,919,,,"June 27, 2012",NDA 22-529,
2016-23330,,"5,697,896",Alza Corp,4835,3862,973,,,"May 22, 2006",the new drug application (NDA) for IONSYS (NDA 21-338),
2016-25221,,,Amgen Inc,2267,1901,366,"June 14, 2009",,"August 27, 2015",the date the investigational new drug application became effective,
2016-25222,,,Biogen Idec MA Inc,2643,2186,457,"May 23, 2007",,"August 15, 2014",the date the investigational new drug application became effective,
2016-25220,,"5,817,338","AstraZeneca AB, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2045,804,1241,,,"June 20, 2003",the new drug application (NDA) for PRILOSEC OTC (NDA 21-229),623
2016-28049,,"6,709,655","Instituto Bioclon, SA de CV, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",4223,3443,780,"October 15, 2003",,"May 6, 2015",the date the investigational new drug application became effective,
2016-28046,,,Pharming Intellectual Property B,3502,3045,457,,,"July 16, 2014",the biologics license application (BLA) for RUCONEST (BLA 125495),
2016-28045,,"7,196,205","Genzyme Corporation, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3854,3520,334,"February 1, 2004",,"August 19, 2014",the date the investigational new drug application became effective,1518
2016-28047,,,,1194,1017,177,,,"January 17, 2014",,
2016-28653,,,"the University of North Carolina at Chapel Hill, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2437,1318,1119,"August 28, 2008",,"April 29, 2015",the date the investigational new drug application became effective,
2016-28654,,"7,572,619","Octapharma AG, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2622,2165,457,"July 2, 2008",,"September 4, 2015",the date the investigational new drug application became effective,1336
2016-28916,,,"Wyeth Holdings LLC, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2079,1943,136,"February 20, 2009",,"October 29, 2014",the date the investigational new drug application became effective,255
2016-28917,,"8,008,449",E,3071,2925,146,,,"December 22, 2014",,
2016-28939,,"7,615,532","Novo Nordisk A/S, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2914,1456,1458,,,"September 25, 2015",the new drug application (NDA) for TRESIBA (NDA 203-314),1803
2016-29025,,,"GlaxoSmithKline Biologicals SA, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3963,3779,184,"March 20, 2004",,"January 23, 2015",the date the investigational new drug application became effective,
2016-29303,,,Merck Sharp & Dohme Corp,92662,2296,366,,,"December 10, 2014",the biologics license application (BLA) for GARDASIL 9 (BLA 125508/0),
2016-29838,,"5,693,323","GlaxoSmithKline LLC, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",6862,6496,366,,,"November 4, 2015",the biologics license application (BLA) for NUCALA (BLA 125526),
2016-30399,,"7,452,966","Eli Lilly and Company, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3303,2937,366,"September 4, 2005",,"September 18, 2014",the date the investigational new drug application became effective,1249
2016-30528,,"7,807,155","Novartis AG, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3381,2926,455,,,"January 21, 2015",the biologics license application (BLA) for COSENTYX (BLA 125504/0),629
2016-31322,,,"BioVex Limited, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3809,3352,457,"May 25, 2005",,"October 27, 2015",the date the investigational new drug application became effective,
2017-00108,,"7,709,610","AbbVie Biotherapeutics, Inc",3400,3245,155,"August 11, 2006",,"November 30, 2015",the date the investigational new drug application became effective,1095
2017-00095,,,"Nektar Therapeutics, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",1061,707,354,"December 19, 2012",,"November 13, 2015",the date the investigational new drug application became effective,708
2017-12323,,"5,856,529","Vanda Pharmaceuticals, Inc",5802,5556,246,,,"January 31, 2014",the new drug application (NDA) for HETLIOZ (NDA 205677),
2017-12322,,,"NeuroPace, Inc",3796,2694,1102,,,"November 14, 2013",the date the investigational device exemption (IDE) required under section 520(g) of the FD&C Act for human tests to begin became effective,
2017-12359,,"5,496,801",NPS Pharmaceuticals Inc,7268,6811,457,,,"January 23, 2015",the biologics license application (BLA) for NATPARA (BLA 125511),
2017-14454,,,"Cerus Corporation, and the USPTO requested FDA's assistance in determining this patents' eligibility for patent term restoration",6497,6114,383,,,"December 16, 2014",PMA BP130076,
2017-14455,,,"Cerus Corporation, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",7080,6909,171,,,"December 18, 2014",,
2017-16516,,"RE39,548","UCB Celltech, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",5685,5325,360,,,"March 23, 2016",the biologics license application (BLA) for CINQAIR (BLA 761033),1660
2017-16515,,,Baxalta GmbH and Baxalta Inc,2690,2335,355,,,"December 8, 2015",the biologics license application (BLA) for VONVENDI (BLA 125577),
2017-17566,,,Acrux DDS Pty,2092,2037,55,,,"June 23, 2012",NADA 141-337,
2017-17961,,,,,,,,,,,
2017-18379,,"6,133,260",Alcon Pharmaceutials Ltd,1880,1643,237,"October 26, 2009",,"December 17, 2014",the date the investigational new drug application became effective,1058
2017-18380,,,"AstraZeneca UK Limited, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",6122,5338,784,,,"June 22, 2015",the new drug application (NDA) for KENGREAL (NDA 204958),
2017-21421,,"5,804,420","Bayer HealthCare LLC, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2478,2021,457,"June 5, 2009",,"March 16, 2016",the biologics license application (BLA) for KOVALTRY (BLA 125574/0),1466
2017-21435,,,"Biogen Idec International GmbH, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2480,2085,,,,"March 27, 2013",the date the investigational new drug application (IND) became effective,
2017-21436,,"5,911,685","Abiomed Europe GmbH, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",253227,2858,369,,,"March 23, 2015",the date the investigational device exemption (IDE) required under section 520(g) of the FD&C Act for human tests to begin became effective,1796
2017-22898,,"7,576,181",Emory University and (U,4216,3883,333,,,"October 23, 2014",BLA 125512/0,
2017-22895,,,,3846,2515,1331,,,"October 24, 2013",,
2017-22897,,"6,021,352","Inspire Medical Systems, Inc",2002,1653,349,,,"April 30, 2014","the date the investigational device exemption required under section 520(g) of the FD&C Act for human tests to begin became effective on November 7, 2008.
                

                    2. 
                    The date an application",1184
2017-25676,,,"BioCryst Pharmaceuticals, Inc",3287,2925,362,,,"December 19, 2014",NDA 206426,
2017-25683,,"7,420,051","Pharma Mar, S",7107,6773,334,"May 10, 1996",,"October 23, 2015",the date the investigational new drug application became effective,1471
2017-25703,,"7,365,205",Daiichi Sankyo Co,3845,3479,366,,,"January 8, 2015","July 1, 2004, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",1406
2017-25682,,"7,129,232","Astellas Pharma, Inc",2360,2117,243,"July 5, 2008",,"December 19, 2014",the date the investigational new drug application became effective,1302
2017-25684,,,"Nevro Corporation, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",1136,820,316,,,"May 8, 2015",the date the investigational device exemption (IDE) required under section 520(g) of the FD&C Act for human tests to begin became effective,
2017-25770,,"6,258,795",Wellstat Therapeutics Corp,8494,8254,240,,,"September 4, 2015",the new drug application (NDA) for XURIDEN (NDA 208169),
2017-25761,,"8,147,873","Relypsa, Inc",2844,2478,366,,,"October 21, 2015","January 9, 2008, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",832
2017-25772,,"7,888,362",Otsuka Pharmaceutical Co,2636,2271,365,,,"July 10, 2015",the new drug application (NDA) for REXULTI (NDA 205422),868
2017-25773,,"6,150,085","Haemonetics Corporation, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",1250,708,542,,,"April 25, 2013",the new drug application (NDA) for SOLX SYSTEM (NDA BN110059),894
2017-25780,,,Ajinomoto Co,4967,3091,1876,,,,,
2017-27684,,"7,816,379","Trius Therapeutics, Inc",2366,2123,243,,,"June 20, 2014",the new drug application (NDA) for SIVEXTRO (NDA 205435),118
2017-27745,,,,1271,1144,127,,,"April 29, 2014",,
2017-27710,,"7,727,984",Boehringer Ingelheim Pharma GmbH & Co,2712,1903,809,,,"July 31, 2014",the new drug application (NDA) for STRIVERDI RESPIMAT (NDA 203108),1166
2018-00353,,,"AstraZeneca Pharmaceuticals LP, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",4269,3964,305,"August 29, 2002",,"May 5, 2014",the date the investigational new drug application became effective,
2018-00358,,,RaQualia Pharma Inc,1645,1589,56,,,"May 16, 2016",NADA 141-457,
2018-00355,,,"Medtronic, Inc",788,585,203,,,"April 6, 2016",the premarket approval application (PMA) for MICRA TRANSCATHETER PACING SYSTEM (PMA P150033),
2018-00404,,,"Uromedica, Inc",3892,3179,713,,,"November 24, 2015",PMA 130018,
2018-00675,,"8,329,159","Bristol-Myers Squibb Company, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2808,2327,481,,,"July 24, 2015",the new drug application (NDA) for DAKLINZA (NDA 206843),467
2018-00678,,"7,112,592",Forest Laboratories Holdings Ltd,2579,2333,246,,,"February 25, 2015","February 5, 2008, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",1411
2018-00684,,"5,808,146","Emory University, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",4006,3763,243,"June 10, 2005
                

                    2",,"May 27, 2016",the date the investigational new drug application became effective,
2018-00679,,"8,348,992","Boston Scientific Scimed, Inc",1206,950,256,,,"October 2, 2015",the date the investigational device exemption (IDE) required under section 520(g) of the FD&C Act for human tests to begin became effective,629
2018-00994,,,"Millennium Pharmaceuticals, Inc",2538,2404,134,"December 10, 2008",,"November 20, 2015",the date the investigational new drug application became effective,
2018-00992,,,"Ardea Biosciences, Inc",2245,1886,359,"October 31, 2009",,"December 22, 2015",the date the investigational new drug application became effective,
2018-00995,,"8,540,768",Sorin Group Italia S,1003,694,309,,,"January 8, 2016",PMA P150011,576
2018-01373,,"7,049,320","OPKO Health, Inc",3070,2708,362,"April 8, 2007",,"September 1, 2015",the date the investigational new drug application became effective,1716
2018-01368,,,"Forest Laboratories, LLC, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3742,2709,1033,"June 21, 2005",,"September 17, 2015",the date the investigational new drug application became effective,
2018-01637,,"7,205,302","Actelion Pharmaceuticals, Ltd",2246,1881,365,"October 29, 2009",,"December 21, 2015",the date the investigational new drug application became effective,1305
2018-01642,,"7,973,040",Merck Sharp & Dohme Corp,1865,1619,246,"December 22, 2010",,"January 28, 2016",the date the investigational new drug application became effective,188
2018-01640,,"7,960,407",AskAt Inc,1688,1636,52,,,"March 21, 2016, however, FDA records indicate that NADA 141-455 was approved on Sunday, March 20, 2016",,899
2018-01641,,,Taiho Pharmaceutical Co,6083,5805,278,,,"September 22, 2015",the new drug application (NDA) for LONSURF (NDA 207981),
2018-01651,,"8,501,238",AbbVie Inc,2391,2148,243,,,"December 19, 2014","June 4, 2008, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",93
2018-01644,,"7,839,153","CardioMEMS, Inc",2786,1525,1261,,,"May 28, 2014","the date the investigational device exemption required under section 520(g) of the FD&C Act for human tests to begin became effective October 13, 2006.
                

                    2. 
                    The date an application",1026
2018-01655,,,"Edwards Lifesciences PVT, Inc",31736,1558,178,,,"June 17, 2015",PMA P140031,
2018-01645,,,Basilea Pharmaceutica International Ltd,3528,3286,242,,,"March 6, 2015","July 10, 2005, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",
2018-01920,,"7,253,286",EISAI R&D Management Co,3580,3396,184,,,"February 13, 2015","April 28, 2005, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",1465
2018-01894,,,"Wyeth LLC, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",5683,5317,366,,,"October 3, 2013",the new drug application (NDA) for DUAVEE (NDA 022247),
2018-01890,,"8,354,509",Merck Sharp & Dohme B,44941338,1148,190,,,"September 4, 2014",the biologics license application (BLA) for KEYTRUDA (BLA 125514/0),83
2018-01889,,"8,627,999",Beaurain et al,2758,1821,937,,,"August 7, 2013",the premarket approval application (PMA) for MOBI-C CERVICAL DISC PROSTHESIS (PMA P110002),323
2018-01891,,,"Edwards Lifesciences PVT, Inc",1370,959,411,,,"June 16, 2014",the date the investigational device exemption became effective,
2018-01892,,,Basilea Pharmaceutica International Ltd,3528,3286,242,"July 10, 2005",,"March 6, 2015",the date the investigational new drug application became effective,
2018-01979,,,"Les Laboratoires Servier, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",293,0,293,,,"April 15, 2015",the new drug application (NDA) for CORLANOR (NDA 206143),
2018-02187,,,"Janssen Pharmaceutica, N",2716,2381,335,,,"May 27, 2015","December 21, 2007, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",
2018-02418,,,"AstraZeneca AB, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3673,2565,1108,"December 21, 2003",,"January 8, 2014",NDA 202293,
2018-02419,,,"Amgen Research (Munich) GMBH, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2850,2774,76,"February 15, 2007",,"December 3, 2014",the biologics license application (BLA) for BLINCYTO (BLA 125557),
2018-02403,,,"Gilead Sciences, Inc",5031,4665,366,,,"November 5, 2015",the new drug application (NDA) for GENVOYA (NDA 207561),1116
2018-02432,,"6,807,965","Scott Laboratories, Inc",2816,950,1866,,,"May 3, 2013",the premarket approval application (PMA) for SEDASYS SYSTEM (PMA P080009),2283
2018-02522,,"7,214,506",Kaken Pharmaceutical Co,2521,1840,681,,,"June 6, 2014",the date the investigational new drug application (IND) became effective,1601
2018-02588,,"7,763,712","Alexion Pharmaceuticals, Inc",2670,2365,305,,,"October 23, 2015",the biologics license application (BLA) for STRENSIQ (BLA 125513),1109
2018-02658,,"8,178,563","Novartis AG, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2414,2112,302,,,"July 24, 2015","December 15, 2008, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",169
2018-02666,,"7,939,632","CSL Behring GmbH, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",1479,1023,456,"February 17, 2012",,"March 4, 2016",the date the investigational new drug application became effective,531
2018-02591,,"7,449,464","Kudos Pharmaceuticals Limited, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",3012,2692,320,,,"December 19, 2014","September 22, 2006, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",1275
2018-02590,,,"Merrimack Pharmaceuticals, Inc",2536,2354,182,,,"October 22, 2015","November 13, 2008, is the date the investigational new drug application became effective.
                

                    2. 
                    The date the application",
2018-02592,,,"Novartis Pharmaceuticals Corporation, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3148,2945,203,,,"July 7, 2015",the new drug application (NDA) for ENTRESTO (NDA 207620),
2018-02582,,"8,460,374","AcuFocus, Inc",2347,1541,806,,,"April 17, 2015",the date the investigational device exemption (IDE) required under section 520(g) of the FD&C Act for human tests to begin became effective,676
2018-02791,,"8,008,309","Pharmacyclics, Inc",1865,1726,139,,,"November 13, 2013",the new drug application (NDA) for IMBRUVICA (NDA 205552),320
2018-02768,,"6,900,175","Vicuron Pharmaceuticals, Inc",5033,1592,3441,,,"May 23, 2014",the new drug application (NDA) for DALVANCE (NDA 21883),1612
2018-02763,,"7,951,797",Merck Sharp & Dohme Corp,2291,1577,714,,,"August 13, 2014","the new drug application (NDA) for BELSOMRA (NDA 204569) 
                    

      ( print page 6036)",
2018-02756,,"6,297,375",Hoffmann-La Roche Inc,1858,1479,379,,,"October 10, 2014","September 10, 2009, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",1118
2018-02767,,"RE43,431",Boehringer Ingelheim Pharma Gmbh & Co,3453,3213,240,,,"July 12, 2013",the new drug application (NDA) for GILOTRIF (NDA 201292),1057
2018-02761,,"7,662,972","Nissan Chemical Industries, Ltd",1017,979,38,,,"May 15, 2014",the new animal drug application (NADA) for BRAVECTO (NADA 141-426),792
2018-02851,,"8,188,146","Amarin Pharmaceuticals Ireland Limited, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",1133,828,305,,,"July 26, 2012",the new drug application (NDA) for VASCEPA (NDA 202057),58
2018-02868,,,"Novartis AG, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",4334,3997,337,,,"February 23, 2015",the new drug application (NDA) for FARYDAK (NDA 205353),
2018-03041,,"6,888,027","Spectrum Pharmaceuticals, Inc",3488,3281,207,,,"July 3, 2014",NDA 206256,1779
2018-03029,,,"Warner-Lambert Company, LLC, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",3954,3779,175,,,"February 3, 2015",the new drug application (NDA) for IBRANCE (NDA 207103),
2018-02992,,"7,579,449","Boehringer Ingelheim International GmbH, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2275,1760,515,,,"August 1, 2014",the new drug application (NDA) for JARDIANCE (NDA 204629),1001
2018-02993,,"7,582,621","Anacor Pharmaceuticals, Inc",3112,2768,344,,,"July 7, 2014","December 31, 2005, is the date the investigational new drug application became effective.
                

                    2. 
                    The date the application",408
2018-02991,,"7,854,943","IDEXX, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",4034,3980,54,,,"November 4, 2014",NADA 141-437,235
2018-03017,,"7,741,476","Pierre Lebreton, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",1896,1110,786,,,"October 22, 2013",the premarket approval application (PMA) for JUVEDERM VOLUMA XC (PMA P110033),567
2018-03126,,,"Janssen Biotech, Inc",3747,3510,237,,,"April 23, 2014",the biologic license application (BLA) for SYLVANT (BLA 125496/0),
2018-03136,,"8,338,395","Bayer Intellectual Property GmbH, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2923,541,2382,,,"March 5, 2014",the new drug application (NDA) for AVEED (NDA 022219),435
2018-03129,,RE43879,"Pierre Fabre Medicament, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",1602,1298,304,,,"July 25, 2013",NDA 204168,954
2018-03170,,"7,304,078",Merck Sharp & Dohme Corp,3401,3037,364,,,"May 8, 2014",the new drug application (NDA) for ZONTIVITY (NDA 204886),1357
2018-03137,,RE44733,"Merck Sharp & Dohme, B",4265,1297,2968,"April 13, 2004",,"December 15, 2015",the date the investigational new drug application became effective,1826
2018-03127,,,Vertex Pharmaceuticals Inc,2785,2545,240,,,"July 2, 2015","November 18, 2007, is the date the investigational new drug application (IND) became effective.
                

                    2. 
                    The date the application",
2018-03130,,,"Sprout Pharmaceuticals, Inc",6852,4730,,,,"August 18, 2015",,
2018-03134,,,"ICOS Corporation, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2058582247,1931,316,,,"July 23, 2014",the date the investigational new drug application (IND) became effective,537
2018-03229,,"7,863,256",Fidia Farmaceutici S,1845,1665,180,,,"August 28, 2015",the premarket approval application (PMA) for HYMOVIS (PMA P150010),938
2018-03218,,,"Exelixis, Inc",3219,2884,335,,,"November 10, 2015",the new drug application (NDA) for COTELLIC (NDA 206192),
2018-03245,,,"Nektar Therapeutics, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2493,2127,366,,,"September 16, 2014",the new drug application (NDA) for MOVANTIK (NDA 204760),
2018-03345,,"7,598,350","Eli Lilly and Company, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",2533,2175,358,"December 19, 2008",,"November 24, 2015",the date the investigational new drug application became effective,1321
2018-03342,,"7,829,673","Genmab A/S, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",1939,1808,131,"July 28, 2010",,"November 16, 2015",the date the investigational new drug application became effective,1000
2018-03343,,"7,672,727",EnteroMedics Inc,2866,2296,570,,,"January 14, 2015",PMA P130019,385
2018-03610,,"6,409,990","Navidea Biopharmaceuticals, Inc",4398,3816,582,"February 28, 2001",,"March 13, 2013",the date the investigational new drug application became effective,1826
2018-03606,,"6,762,180",Boehringer Ingelheim Pharma Gmbh & Co,3480,3313,167,,,"October 15, 2014",the new drug application (NDA) for OFEV (NDA 205832),1822
2018-03612,,,InterMune Inc,14993,13186,1807,,,"October 15, 2014",the new drug application (NDA) for ESBRIET (NDA 22-535),
2018-03701,,,"ICOS Corporation, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",2247,2017,230,,,"July 23, 2014",the date the investigational new drug application (IND) became effective,
2018-22571,,,"Janssen Biotech, Inc",2968,2728,240,,,"July 13, 2017",the biologics license application (BLA) for TREMFYA (BLA 761061),
2018-22566,,"7,608,693","Regeneron Pharmaceuticals, Inc",2728,2485,243,"October 10, 2009",,"March 28, 2017",the date the investigational new drug application became effective,1273
2018-22559,,"8,029,781","Rutgers, the State University of New Jersey, and the USPTO requested FDA's assistance in determining this patent's eligibility for patent term restoration",995,659,336,"August 8, 2014",,"April 27, 2017",the date the investigational new drug application became effective,666
2018-22699,,,"Genentech, Inc",4844,4509,335,"December 25, 2003",,"March 28, 2017",the date the investigational new drug application became effective,
2018-22696,,"7,041,635","SK Chemicals Co, LTD",1734,1371,363,"August 28, 2011",,"May 25, 2016",the date the investigational new drug application became effective,1047
2018-22806,,,"MedImmune Limited, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",1755,1554,201,"July 13, 2012",,"May 1, 2017",the date the initial investigational new drug application became effective,159
2018-22956,,,"Radius Health, Inc",4130,3735,395,,,"April 28, 2017",the date the investigational new drug application became effective,
2018-22958,,,"Wyeth Holdings LLC, and the USPTO requested FDA's assistance in determining the patents' eligibility for patent term restoration",5298,5057,241,"February 16, 2003",,"August 17, 2017",the date the investigational new drug application became effective,
2018-22957,,"8,217,149","Genentech, Inc",1836,1708,128,"May 11, 2011",,"May 18, 2016",the date the investigational new drug application became effective,769
2018-23057,,,ACADIA Pharmaceuticals Inc,4557,4315,242,,,"April 29, 2016",the date the investigational new drug application became effective,
2018-23058,,,"Kirin-Amgen, Inc",3101,2643,458,,,"February 15, 2017",the biologics license application (BLA) for SILIQ (BLA 761032),
